demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
47,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,2,0,0,0,0
47,0,0,2,0,0,0,0
47,0,0,3,0,0,0,0
47,0,0,3,0,0,0,0
47,0,0,3,0,0,0,0
47,0,0,4,0,0,0,0
47,0,0,4,0,0,0,0
47,0,0,4,0,0,0,0
47,0,0,4,0,0,0,0
47,0,0,4,0,0,0,0
47,0,0,5,0,0,0,0
47,0,0,5,0,0,0,0
47,0,0,5,0,0,0,0
47,0,0,5,0,0,0,0
47,0,0,5,0,0,0,0
47,0,1,5,0,0,0,0
47,0,1,5,0,0,0,0
47,0,1,5,0,0,0,0
47,0,1,6,0,0,0,0
47,0,1,6,0,0,0,0
47,0,2,6,0,0,0,0
47,0,2,6,0,0,0,0
47,0,2,6,0,0,0,0
47,0,2,6,0,0,0,0
47,1,3,7,0,0,0,0
47,1,4,8,0,0,0,0
47,1,4,8,0,0,0,0
47,1,4,8,0,0,0,0
47,1,4,9,0,0,0,0
47,1,4,9,0,0,0,0
47,1,4,9,0,0,0,0
47,1,4,9,0,0,0,0
47,1,4,9,0,0,0,0
47,1,4,10,0,0,0,0
47,1,4,11,0,0,0,0
47,1,5,11,0,0,0,0
47,1,5,11,0,0,0,0
47,1,7,11,0,0,0,0
47,1,8,11,0,0,0,0
47,1,8,11,0,0,0,0
47,1,8,11,0,0,0,0
47,1,8,12,0,0,0,0
47,1,8,12,0,0,0,0
47,1,8,12,0,0,0,0
47,1,8,13,0,0,0,0
47,1,9,13,0,0,0,0
47,1,9,13,0,0,0,0
47,1,11,13,0,0,0,0
47,1,11,13,0,0,0,0
47,1,11,13,0,0,0,0
47,1,11,13,0,0,0,0
47,2,13,13,0,0,0,0
47,2,13,13,0,0,0,0
47,2,13,13,0,0,0,0
47,2,13,14,0,0,0,0
47,2,13,15,0,0,0,0
47,2,13,15,0,0,0,0
47,2,13,15,0,0,0,0
47,2,13,15,0,0,0,0
47,2,13,15,0,0,0,0
47,2,13,15,0,0,0,0
47,3,14,16,0,0,0,0
47,3,14,16,0,0,0,0
47,3,14,17,0,0,0,0
47,3,14,17,0,0,0,0
47,3,14,17,0,0,0,0
47,3,14,17,0,0,0,0
47,3,14,17,0,0,0,0
47,4,14,18,0,0,0,0
47,4,14,18,0,0,0,0
47,4,14,18,0,0,0,0
47,4,14,18,0,0,0,0
47,4,14,19,0,0,0,0
47,4,14,19,0,0,0,0
47,4,14,19,0,0,0,0
47,4,14,19,0,0,0,0
47,4,14,20,0,0,0,0
47,4,14,20,0,0,0,0
47,4,14,21,0,0,0,0
47,4,14,22,0,0,0,0
47,4,15,22,0,0,0,0
47,4,15,22,0,0,0,0
47,4,15,22,0,0,0,0
47,4,15,23,0,0,0,0
47,4,15,24,0,0,0,0
47,4,15,24,0,0,0,0
47,4,15,24,0,0,0,0
47,4,15,24,0,0,0,0
47,4,15,24,0,0,0,0
47,4,15,25,0,0,0,0
47,4,15,26,0,0,0,0
47,4,15,26,0,0,0,0
47,4,15,26,0,0,0,0
47,4,15,26,0,0,0,0
47,4,15,26,0,0,0,0
47,4,15,26,0,0,0,0
47,4,15,26,1,0,0,0
47,4,15,27,1,0,0,0
47,4,15,27,1,0,0,0
47,4,15,28,1,0,0,0
47,4,15,29,1,0,0,0
47,4,15,29,2,0,0,0
47,4,15,29,2,0,0,0
47,4,15,29,2,0,0,0
47,4,15,29,2,0,0,0
47,4,15,29,2,0,0,0
demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
47,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
47,0,0,2,0,0,0,0
47,0,0,2,0,0,0,0
47,0,0,3,0,0,0,0
47,0,0,3,0,0,0,0
47,0,0,3,0,0,0,0
47,0,0,4,0,0,0,0
47,0,0,4,0,0,0,0
47,0,0,4,0,0,0,0
47,0,0,4,0,0,0,0
47,0,0,4,0,0,0,0
47,0,0,5,0,0,0,0
47,0,0,5,0,0,0,0
47,0,0,5,0,0,0,0
47,0,0,5,0,0,0,0
47,0,0,5,0,0,0,0
47,0,1,5,0,0,0,0
47,0,1,5,0,0,0,0
47,0,1,5,0,0,0,0
47,0,1,6,0,0,0,0
47,0,1,6,0,0,0,0
47,0,2,6,0,0,0,0
47,0,2,6,0,0,0,0
47,0,2,6,0,0,0,0
47,0,2,6,0,0,0,0
47,1,3,7,0,0,0,0
47,1,4,8,0,0,0,0
47,1,4,8,0,0,0,0
47,1,4,8,0,0,0,0
47,1,4,9,0,0,0,0
47,1,4,9,0,0,0,0
47,1,4,9,0,0,0,0
47,1,4,9,0,0,0,0
47,1,4,9,0,0,0,0
47,1,4,10,0,0,0,0
47,1,4,11,0,0,0,0
47,1,5,11,0,0,0,0
47,1,5,11,0,0,0,0
47,1,7,11,0,0,0,0
47,1,8,11,0,0,0,0
47,1,8,11,0,0,0,0
47,1,8,11,0,0,0,0
47,1,8,12,0,0,0,0
47,1,8,12,0,0,0,0
47,1,8,12,0,0,0,0
47,1,8,13,0,0,0,0
47,1,9,13,0,0,0,0
47,1,9,13,0,0,0,0
47,1,11,13,0,0,0,0
